"ESTACION_ID","NOMBRE_FGDA","NOMBRE_EST","MSFL_CODE","MED_CONCENTRACION_ESTANDAR","MED_FECHA_INICIO","MED_FECHA_FINAL","LATITUD","LONGITUD","ALTITUD","NOMBRE_UNIDAD","SIGLA_UNIDAD","DURACIÓN","CODIGO_DEPARTAMENTO","DEPARTAMENTO","CODIGO_MUNICIPIO","MUNICIPIO","TIPO_ESTACION"
"8258","CORTOLIMA","CORTOLIMA","PM10","25.16","2021 Mar 11 12:00:00 AM","2021 Mar 12 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","26.51","2021 Aug 02 12:00:00 AM","2021 Aug 03 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"31477","CORTOLIMA","POLICÍA DE CARRETERAS","PM10","19.97","2021 Jan 10 12:00:00 AM","2021 Jan 11 12:00:00 AM","4.435278","-75.202222","1,126","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","25.83","2021 Nov 22 12:00:00 AM","2021 Nov 23 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","28.39","2021 Aug 20 12:00:00 AM","2021 Aug 21 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","24.42","2021 Apr 23 12:00:00 AM","2021 Apr 24 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","24.29","2021 Apr 02 12:00:00 AM","2021 Apr 03 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","24.72","2021 Mar 27 12:00:00 AM","2021 Mar 28 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","24.32","2021 Jun 18 12:00:00 AM","2021 Jun 19 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","26.42","2021 Dec 10 12:00:00 AM","2021 Dec 11 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"31477","CORTOLIMA","POLICÍA DE CARRETERAS","PM10","29","2021 Nov 12 12:00:00 AM","2021 Nov 13 12:00:00 AM","4.435278","-75.202222","1,126","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"31477","CORTOLIMA","POLICÍA DE CARRETERAS","PM10","32.97","2021 Feb 03 12:00:00 AM","2021 Feb 04 12:00:00 AM","4.435278","-75.202222","1,126","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","24.71","2021 Jun 15 12:00:00 AM","2021 Jun 16 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","21.38","2021 Oct 17 12:00:00 AM","2021 Oct 18 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","28.2","2021 Apr 08 12:00:00 AM","2021 Apr 09 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","28.1","2021 May 25 12:00:00 AM","2021 May 26 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","27.04","2021 Mar 30 12:00:00 AM","2021 Mar 31 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","29.27","2021 Jul 02 12:00:00 AM","2021 Jul 03 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"31477","CORTOLIMA","POLICÍA DE CARRETERAS","PM10","22.76","2021 Feb 09 12:00:00 AM","2021 Feb 10 12:00:00 AM","4.435278","-75.202222","1,126","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","30.55","2021 Apr 29 12:00:00 AM","2021 Apr 30 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","25.67","2021 Nov 26 12:00:00 AM","2021 Nov 27 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","25.23","2021 Apr 27 12:00:00 AM","2021 Apr 28 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"31477","CORTOLIMA","POLICÍA DE CARRETERAS","PM10","23","2021 Jun 18 12:00:00 AM","2021 Jun 19 12:00:00 AM","4.435278","-75.202222","1,126","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","22.67","2021 Sep 25 12:00:00 AM","2021 Sep 26 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","24.08","2021 Apr 24 12:00:00 AM","2021 Apr 25 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","30.39","2021 Feb 07 12:00:00 AM","2021 Feb 08 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
"8258","CORTOLIMA","CORTOLIMA","PM10","22.9","2021 Mar 20 12:00:00 AM","2021 Mar 21 12:00:00 AM","4.433181","-75.211139","1,191","Microgramos por metro cúbico","ug/m3","1,440","73","Tolima","73001","Ibagué","Fija"
